side_effect,system_organ_class,severity_classification,medication,dose,frequency_treatment_pct,frequency_placebo_pct,excess_frequency_pct,onset_timing,duration,discontinuation_rate_pct,management_strategy,clinical_significance,trial_source,notes
Nausea,Gastrointestinal,Mild-Moderate,Semaglutide,2.4mg weekly,44.20%,16.00%,28.20%,Weeks 1-8 during dose escalation,Resolves within 4-8 weeks of dose stabilization,4.9,Take with food; slow dose escalation; small meals,Most common GLP-1 side effect; typically transient; peaks during titration,Wilding et al. NEJM 2021 (STEP 1),
Diarrhea,Gastrointestinal,Mild,Semaglutide,2.4mg weekly,29.70%,16.00%,13.70%,Early treatment,Usually resolves within 4-8 weeks,1.4,Hydration; BRAT diet; avoid high-fat foods,Common; usually mild and self-limiting,Wilding et al. NEJM 2021 (STEP 1),
Vomiting,Gastrointestinal,Mild-Moderate,Semaglutide,2.4mg weekly,24.50%,6.80%,17.70%,Weeks 1-12,Resolves with dose stabilization,2.2,Anti-emetics if needed; small frequent meals; avoid triggers,Often occurs alongside nausea during titration,Wilding et al. NEJM 2021 (STEP 1),
Constipation,Gastrointestinal,Mild,Semaglutide,2.4mg weekly,24.20%,11.10%,13.10%,Throughout treatment,Often persists; requires active management,0.4,Increased fiber and water; stool softeners; physical activity,Persists longer than nausea/vomiting; proactive management recommended,Wilding et al. NEJM 2021 (STEP 1),
Abdominal pain,Gastrointestinal,Mild-Moderate,Semaglutide,2.4mg weekly,10.20%,4.80%,5.40%,Variable,Usually transient,0.4,Small meals; avoid trigger foods,Evaluate for pancreatitis if severe or persistent,Wilding et al. NEJM 2021 (STEP 1),
Hair loss (telogen effluvium),Skin and subcutaneous tissue,Mild,Semaglutide,2.4mg weekly,5.90%,1.00%,4.90%,Months 2-4 of treatment,Temporary; resolves within 6-12 months,0,Adequate protein intake; biotin; reassurance,Not a direct drug effect; caused by rapid weight loss triggering hair cycle; temporary,Wilding et al. NEJM 2021 (STEP 1),
Fatigue,General disorders,Mild,Semaglutide,2.4mg weekly,11.00%,7.00%,4.00%,Early treatment,Usually resolves within weeks,0.2,Rest; adequate nutrition; monitor for other causes,Common early in treatment; usually transient,Wilding et al. NEJM 2021 (STEP 1),
Headache,Nervous system,Mild,Semaglutide,2.4mg weekly,13.90%,11.00%,2.90%,Early treatment,Usually resolves,Minimal,Hydration; OTC analgesics,Often related to caloric restriction rather than direct drug effect,Wilding et al. NEJM 2021 (STEP 1),
Gallbladder disease,Hepatobiliary,Moderate-Severe,Semaglutide,2.4mg weekly,2.60%,1.20%,1.40%,Variable; often later in treatment,Requires medical management,0.8,Dietary fat reduction; medical or surgical management,Class effect for all GLP-1s; rapid weight loss increases gallstone risk,Wilding et al. NEJM 2021 (STEP 1),
Pancreatitis,Gastrointestinal,Severe,Semaglutide,2.4mg weekly,0.10%,0.10%,0.00%,Variable,Requires immediate treatment and discontinuation,0.1,Immediate discontinuation; hospitalization; supportive care,Rare but serious; discontinue immediately; boxed warning consideration,Wilding et al. NEJM 2021 (STEP 1),
Injection site reactions,Skin and subcutaneous tissue,Mild,Semaglutide,2.4mg weekly,3.40%,2.20%,1.20%,Any time,Usually resolves,Minimal,Rotate injection sites; proper technique,"Includes redness, bruising, itching at injection site",Wilding et al. NEJM 2021 (STEP 1),
Hypoglycemia (non-diabetic),Metabolism,Mild,Semaglutide,2.4mg weekly,1.60%,0.40%,1.20%,Variable,Usually resolves with food,0,Eat regular meals; monitor if on other glucose-lowering medications,Very rare in non-diabetic patients; higher risk if on sulfonylureas or insulin,Wilding et al. NEJM 2021 (STEP 1),
Nausea,Gastrointestinal,Mild-Moderate,Tirzepatide,15mg weekly,33.50%,9.30%,24.20%,Weeks 1-8 during dose escalation,Resolves within 4-8 weeks of dose stabilization,4.3,Take with food; slow dose escalation; small meals,Lower than semaglutide despite greater weight loss; dual GIP+GLP-1 mechanism may reduce GI effects,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Diarrhea,Gastrointestinal,Mild,Tirzepatide,15mg weekly,30.40%,15.70%,14.70%,Early treatment,Usually resolves within weeks,1.4,Hydration; dietary adjustments,Similar rate to semaglutide,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Vomiting,Gastrointestinal,Mild-Moderate,Tirzepatide,15mg weekly,25.20%,6.40%,18.80%,Weeks 1-12,Resolves with dose stabilization,2.3,Anti-emetics if needed; small frequent meals,Most common cause of early discontinuation,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Constipation,Gastrointestinal,Mild,Tirzepatide,15mg weekly,16.40%,3.50%,12.90%,Throughout treatment,Often persists,0.4,Increased fiber and water; stool softeners,Lower constipation rate than semaglutide,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Abdominal pain,Gastrointestinal,Mild-Moderate,Tirzepatide,15mg weekly,9.40%,4.70%,4.70%,Variable,Usually transient,0.4,Small meals; avoid trigger foods,Evaluate for pancreatitis if severe,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Hair loss (telogen effluvium),Skin and subcutaneous tissue,Mild,Tirzepatide,15mg weekly,8.50%,1.00%,7.50%,Months 2-5 of treatment,Temporary; resolves within 6-12 months,0,Adequate protein intake; biotin; reassurance,Higher than semaglutide reflecting greater and faster weight loss; still temporary,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Fatigue,General disorders,Mild,Tirzepatide,15mg weekly,9.00%,6.00%,3.00%,Early treatment,Usually resolves,0.2,Rest; adequate nutrition,Common early in treatment,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Decreased appetite,Metabolism,Mild,Tirzepatide,15mg weekly,22.60%,7.40%,15.20%,Early treatment; throughout,Persists as therapeutic mechanism,0,Monitor caloric intake; ensure adequate nutrition,Primary mechanism of action; considered therapeutic effect not side effect,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Gallbladder disease,Hepatobiliary,Moderate-Severe,Tirzepatide,15mg weekly,1.30%,0.80%,0.50%,Variable,Requires medical management,0.3,Dietary fat reduction; medical or surgical management,Lower rate than semaglutide; class effect still present,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Injection site reactions,Skin and subcutaneous tissue,Mild,Tirzepatide,15mg weekly,3.10%,0.80%,2.30%,Any time,Usually resolves,Minimal,Rotate injection sites; proper technique,"Includes redness, bruising at injection site",Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Pancreatitis,Gastrointestinal,Severe,Tirzepatide,15mg weekly,0.10%,0.00%,0.10%,Variable,Requires immediate treatment,0.1,Immediate discontinuation; hospitalization,Rare but serious; discontinue immediately,Jastreboff et al. NEJM 2022 (SURMOUNT-1),
Nausea,Gastrointestinal,Mild-Moderate,Liraglutide,3mg daily,39.30%,13.80%,25.50%,Weeks 1-8,Resolves within 4-8 weeks,9.8,Take with food; dose escalation; small meals,Higher discontinuation rate than semaglutide or tirzepatide due to GI effects,Pi-Sunyer et al. NEJM 2015 (SCALE),Daily injection vs weekly may increase cumulative GI exposure
Diarrhea,Gastrointestinal,Mild,Liraglutide,3mg daily,20.90%,9.90%,11.00%,Early treatment,Usually resolves,1.5,Hydration; dietary adjustments,Similar pattern to weekly GLP-1s,Pi-Sunyer et al. NEJM 2015 (SCALE),
Vomiting,Gastrointestinal,Mild-Moderate,Liraglutide,3mg daily,15.70%,3.90%,11.80%,Weeks 1-12,Resolves with stabilization,4.8,Anti-emetics; small frequent meals,Higher discontinuation for vomiting vs semaglutide,Pi-Sunyer et al. NEJM 2015 (SCALE),
Constipation,Gastrointestinal,Mild,Liraglutide,3mg daily,19.30%,8.50%,10.80%,Throughout treatment,Often persists,0.7,Fiber; hydration; stool softeners,Similar class effect,Pi-Sunyer et al. NEJM 2015 (SCALE),
Headache,Nervous system,Mild,Liraglutide,3mg daily,12.10%,9.70%,2.40%,Early treatment,Usually resolves,Minimal,Hydration; OTC analgesics,Common early side effect,Pi-Sunyer et al. NEJM 2015 (SCALE),
Gallbladder disease,Hepatobiliary,Moderate-Severe,Liraglutide,3mg daily,2.20%,0.80%,1.40%,Variable,Requires medical management,0.6,Dietary fat reduction; medical or surgical management,Class effect,Pi-Sunyer et al. NEJM 2015 (SCALE),
Heart rate increase,Cardiac disorders,Mild,Liraglutide,3mg daily,3-5 bpm increase,None,3-5 bpm,Throughout treatment,Persists during treatment,0,Monitor in patients with cardiac conditions,Class effect for GLP-1s; clinically significant in some cardiac patients,Pi-Sunyer et al. NEJM 2015 (SCALE),
Nausea,Gastrointestinal,Mild-Moderate,Oral Semaglutide,50mg daily,43.50%,14.70%,28.80%,Weeks 1-8,Resolves within 4-8 weeks,6.7,Take on empty stomach with small amount of water; wait 30 min before eating,Higher than injectable at comparable weight loss; oral absorption requires empty stomach fasting,Aronne et al. Lancet 2023 (OASIS 1),Must be taken fasting for absorption; this increases nausea risk vs injectable
Diarrhea,Gastrointestinal,Mild,Oral Semaglutide,50mg daily,22.00%,12.00%,10.00%,Early treatment,Usually resolves,1.2,Hydration; dietary adjustments,Similar to injectable form,Aronne et al. Lancet 2023 (OASIS 1),
Vomiting,Gastrointestinal,Mild-Moderate,Oral Semaglutide,50mg daily,18.00%,4.00%,14.00%,Weeks 1-12,Resolves with stabilization,2.8,Anti-emetics; small meals after dosing window,Fasting requirement increases vomiting risk vs injectable,Aronne et al. Lancet 2023 (OASIS 1),
Constipation,Gastrointestinal,Mild,Oral Semaglutide,50mg daily,20.00%,9.00%,11.00%,Throughout treatment,Often persists,0.5,Fiber; hydration; stool softeners,Similar class effect to injectable,Aronne et al. Lancet 2023 (OASIS 1),
Abdominal pain,Gastrointestinal,Mild-Moderate,Oral Semaglutide,50mg daily,11.00%,5.00%,6.00%,Variable,Usually transient,0.5,Small meals after dosing window,Similar to injectable form,Aronne et al. Lancet 2023 (OASIS 1),
Nausea,Gastrointestinal,Mild-Moderate,Orforglipron,45mg daily,24.00%,7.00%,17.00%,Weeks 1-8,Resolves within 4-8 weeks,3.5,Take with food; dose escalation,Lower nausea vs semaglutide or oral semaglutide; non-peptide structure may reduce GI effects,Eli Lilly ATTAIN Phase 3 NEJM 2025,First non-peptide oral GLP-1; can be taken with food unlike oral semaglutide
Diarrhea,Gastrointestinal,Mild,Orforglipron,45mg daily,15.00%,8.00%,7.00%,Early treatment,Usually resolves,1,Hydration; dietary adjustments,Lower rate vs semaglutide and tirzepatide,Eli Lilly ATTAIN Phase 3 NEJM 2025,
Vomiting,Gastrointestinal,Mild,Orforglipron,45mg daily,12.00%,4.00%,8.00%,Weeks 1-8,Resolves with stabilization,1.5,Anti-emetics if needed; can take with food,Lower than oral semaglutide; food co-administration allowed,Eli Lilly ATTAIN Phase 3 NEJM 2025,
Constipation,Gastrointestinal,Mild,Orforglipron,45mg daily,11.00%,4.00%,7.00%,Throughout treatment,Variable,0.3,Fiber; hydration; stool softeners,Similar class effect,Eli Lilly ATTAIN Phase 3 NEJM 2025,
Decreased appetite,Metabolism,Mild,Orforglipron,45mg daily,18.00%,5.00%,13.00%,Early treatment; throughout,Persists as therapeutic mechanism,0,Monitor caloric intake; ensure adequate nutrition,Primary mechanism; considered therapeutic,Eli Lilly ATTAIN Phase 3 NEJM 2025,
